,Country,Code,Year,Prevalence
952,Canada,CAN,1990,5.5384908142799985
953,Canada,CAN,1991,5.54082403635
954,Canada,CAN,1992,5.5433986696
955,Canada,CAN,1993,5.54600146955
956,Canada,CAN,1994,5.54826349645
957,Canada,CAN,1995,5.549673391460001
958,Canada,CAN,1996,5.49273171873
959,Canada,CAN,1997,5.35503024666
960,Canada,CAN,1998,5.1901996856
961,Canada,CAN,1999,5.05182907712
962,Canada,CAN,2000,4.99325104129
963,Canada,CAN,2001,4.9927848821000005
964,Canada,CAN,2002,4.99294542958
965,Canada,CAN,2003,4.9936327372
966,Canada,CAN,2004,4.99466143614
967,Canada,CAN,2005,4.99588982859
968,Canada,CAN,2006,5.01446233372
969,Canada,CAN,2007,5.05627301124
970,Canada,CAN,2008,5.105764214230001
971,Canada,CAN,2009,5.14680050265
972,Canada,CAN,2010,5.163625209009999
973,Canada,CAN,2011,5.163594606219999
974,Canada,CAN,2012,5.164412992769999
975,Canada,CAN,2013,5.16581077951
976,Canada,CAN,2014,5.16792080039
977,Canada,CAN,2015,5.170797347710001
978,Canada,CAN,2016,5.1743586107
979,Canada,CAN,2017,5.17821839452
2044,France,FRA,1990,6.5886533974
2045,France,FRA,1991,6.6008358624499985
2046,France,FRA,1992,6.61487533859
2047,France,FRA,1993,6.62874611382
2048,France,FRA,1994,6.641235526810001
2049,France,FRA,1995,6.649508846170001
2050,France,FRA,1996,6.66356789822
2051,France,FRA,1997,6.689107377469998
2052,France,FRA,1998,6.718134254380001
2053,France,FRA,1999,6.743643829310001
2054,France,FRA,2000,6.7578830313
2055,France,FRA,2001,6.764595270580001
2056,France,FRA,2002,6.771649441419999
2057,France,FRA,2003,6.77774745979
2058,France,FRA,2004,6.781921365290001
2059,France,FRA,2005,6.782676295910001
2060,France,FRA,2006,6.769682608759999
2061,France,FRA,2007,6.74093065245
2062,France,FRA,2008,6.706933306229999
2063,France,FRA,2009,6.67764780138
2064,France,FRA,2010,6.663107001209999
2065,France,FRA,2011,6.65892070704
2066,France,FRA,2012,6.654162576649999
2067,France,FRA,2013,6.648781444849999
2068,France,FRA,2014,6.6432314336300005
2069,France,FRA,2015,6.63744454071
2070,France,FRA,2016,6.6320552499600005
2071,France,FRA,2017,6.62671021127
2156,Germany,DEU,1990,6.495742026589999
2157,Germany,DEU,1991,6.581742243410001
2158,Germany,DEU,1992,6.6589890513
2159,Germany,DEU,1993,6.722349189899999
2160,Germany,DEU,1994,6.765661705339999
2161,Germany,DEU,1995,6.783240157459999
2162,Germany,DEU,1996,6.78438098383
2163,Germany,DEU,1997,6.782581004420002
2164,Germany,DEU,1998,6.777523168299999
2165,Germany,DEU,1999,6.76939969957
2166,Germany,DEU,2000,6.758848019169999
2167,Germany,DEU,2001,6.72760913862
2168,Germany,DEU,2002,6.6699159844
2169,Germany,DEU,2003,6.60461847337
2170,Germany,DEU,2004,6.54997636759
2171,Germany,DEU,2005,6.525484746109999
2172,Germany,DEU,2006,6.5289207889
2173,Germany,DEU,2007,6.542041955959999
2174,Germany,DEU,2008,6.55957714394
2175,Germany,DEU,2009,6.57497202344
2176,Germany,DEU,2010,6.58287387476
2177,Germany,DEU,2011,6.58440348791
2178,Germany,DEU,2012,6.58342740891
2179,Germany,DEU,2013,6.5803839797200006
2180,Germany,DEU,2014,6.57494035774
2181,Germany,DEU,2015,6.566759025580001
2182,Germany,DEU,2016,6.54799038554
2183,Germany,DEU,2017,6.540495803400001
6048,United Kingdom,GBR,1990,4.56968285683
6049,United Kingdom,GBR,1991,4.578462984130001
6050,United Kingdom,GBR,1992,4.58681640508
6051,United Kingdom,GBR,1993,4.59415284056
6052,United Kingdom,GBR,1994,4.59992004719
6053,United Kingdom,GBR,1995,4.60362338898
6054,United Kingdom,GBR,1996,4.6085143437900005
6055,United Kingdom,GBR,1997,4.61736815258
6056,United Kingdom,GBR,1998,4.627133464040001
6057,United Kingdom,GBR,1999,4.634766516519999
6058,United Kingdom,GBR,2000,4.637154413599999
6059,United Kingdom,GBR,2001,4.63567741666
6060,United Kingdom,GBR,2002,4.63483996194
6061,United Kingdom,GBR,2003,4.63463113354
6062,United Kingdom,GBR,2004,4.635012100380001
6063,United Kingdom,GBR,2005,4.635823393440001
6064,United Kingdom,GBR,2006,4.639651907619999
6065,United Kingdom,GBR,2007,4.6480120959599995
6066,United Kingdom,GBR,2008,4.65766346717
6067,United Kingdom,GBR,2009,4.6654859014699985
6068,United Kingdom,GBR,2010,4.66829542135
6069,United Kingdom,GBR,2011,4.66682568406
6070,United Kingdom,GBR,2012,4.66475692873
6071,United Kingdom,GBR,2013,4.66220565736
6072,United Kingdom,GBR,2014,4.65935618389
6073,United Kingdom,GBR,2015,4.6562787321700005
6074,United Kingdom,GBR,2016,4.65310679351
6075,United Kingdom,GBR,2017,4.64986093105
6076,United States,USA,1990,6.57688398803
6077,United States,USA,1991,6.55335136759
6078,United States,USA,1992,6.53614303164
6079,United States,USA,1993,6.525536397050001
6080,United States,USA,1994,6.5222784889000005
6081,United States,USA,1995,6.5264893117
6082,United States,USA,1996,6.57802328459
6083,United States,USA,1997,6.68884666135
6084,United States,USA,1998,6.81847266716
6085,United States,USA,1999,6.9263507642299995
6086,United States,USA,2000,6.97156282859
6087,United States,USA,2001,6.97199529904
6088,United States,USA,2002,6.971890834550001
6089,United States,USA,2003,6.970935066979999
6090,United States,USA,2004,6.968875258390001
6091,United States,USA,2005,6.9652486303500005
6092,United States,USA,2006,6.9370379217
6093,United States,USA,2007,6.875453810180002
6094,United States,USA,2008,6.80189918349
6095,United States,USA,2009,6.73778993153
6096,United States,USA,2010,6.704455413330001
6097,United States,USA,2011,6.693384371740001
6098,United States,USA,2012,6.682107018190001
6099,United States,USA,2013,6.6710474178
6100,United States,USA,2014,6.66047266105
6101,United States,USA,2015,6.6506620426600005
6102,United States,USA,2016,6.642099153130001
6103,United States,USA,2017,6.6350550354400015
